Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-07-29,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,1,4.25,1
2024-07-29,762111329240 - DRK CHOC CVRD ESPRESSO BNS,762111329240,DRK CHOC CVRD ESPRESSO BNS,0,0,0
2024-07-30,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,7,24.15,7
2024-07-30,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-30,14397 - BLUEBERRY STREUSEL MUFFIN,14397,BLUEBERRY STREUSEL MUFFIN,1,3.45,1
2024-07-30,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,3,11.85,3
2024-07-30,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),0,0,0
2024-07-30,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,5,19.75,5
2024-07-30,25377 - COFFEE CAKE,25377,COFFEE CAKE,1,3.95,1
2024-07-30,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-07-30,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,0,0,0
2024-07-30,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,4.25,1
2024-07-30,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-30,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,3,9.75,3
2024-07-30,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,14,48.3,14
2024-07-30,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,5,17.25,5
2024-07-30,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.5,2
2024-07-30,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,1,5.25,1
2024-07-30,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,2,9.5,2
2024-07-30,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,1,4.75,1
2024-07-30,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,0,0,0
2024-07-30,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,2,9.9,2
2024-07-30,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,2,10.9,2
2024-07-30,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,2,10.9,2
2024-07-30,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",0,0,0
2024-07-30,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,0,0,0
2024-07-30,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,0,0,0
2024-07-30,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,3,12.75,3
2024-07-30,762111329240 - DRK CHOC CVRD ESPRESSO BNS,762111329240,DRK CHOC CVRD ESPRESSO BNS,0,0,0
2024-07-30,762111329264 - SALTED ALMOND CHOC BITES,762111329264,SALTED ALMOND CHOC BITES,0,0,0
2024-07-31,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,5,17.25,5
2024-07-31,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-31,"14216 - POTATO, CHEDDAR & CHIVE BAKES",14216,"POTATO, CHEDDAR & CHIVE BAKES",1,5.45,1
2024-07-31,14397 - BLUEBERRY STREUSEL MUFFIN,14397,BLUEBERRY STREUSEL MUFFIN,1,3.45,1
2024-07-31,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,8,31.6,8
