Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-07-28,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,4,13,4
2024-07-28,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-28,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,4,15.8,4
2024-07-28,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),3,10.95,3
2024-07-28,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,5,19.75,5
2024-07-28,25377 - COFFEE CAKE,25377,COFFEE CAKE,1,3.95,1
2024-07-28,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-07-28,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,1,3.95,1
2024-07-28,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,2,7.9,2
2024-07-28,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-28,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,1,3.25,1
2024-07-28,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,9,29.25,9
2024-07-28,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,5,16.25,5
2024-07-28,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,1,4.95,1
2024-07-28,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,5,27.25,5
2024-07-28,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,1,4.95,1
2024-07-28,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,3,14.85,3
2024-07-28,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,5,29.75,5
2024-07-28,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,2,9.9,2
2024-07-28,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,1,5.45,1
2024-07-28,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",1,6.45,1
2024-07-28,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,1,5.95,0.083
2024-07-28,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,1,3.95,1
2024-07-28,851562008375 - SKNNY DIPD DRK CHOC ALMONDS,851562008375,SKNNY DIPD DRK CHOC ALMONDS,1,2.95,1
