Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-07-28,13834 - LIME-FROSTED COCONUT BAR,13834,LIME-FROSTED COCONUT BAR,0,0,0
2024-07-28,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,4,13,4
2024-07-28,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-28,14397 - BLUEBERRY STREUSEL MUFFIN,14397,BLUEBERRY STREUSEL MUFFIN,2,7.3,2
2024-07-28,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,3,11.85,3
2024-07-28,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),0,0,0
2024-07-28,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,0,0,0
2024-07-28,25377 - COFFEE CAKE,25377,COFFEE CAKE,2,7.9,2
2024-07-28,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,0,0,0
2024-07-28,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,3,11.85,3
2024-07-28,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-28,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,8,26,8
2024-07-28,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,2,6.5,2
2024-07-28,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.9,2
2024-07-28,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,0,0,0
2024-07-28,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,1,4.95,1
2024-07-28,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,1,5.95,1
2024-07-28,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,1,5.45,1
2024-07-28,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,1,5.45,1
2024-07-28,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",1,6.45,1
2024-07-28,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,2,7.9,2
2024-07-28,762111198464 - ETHOS BOTTLED WATER,762111198464,ETHOS BOTTLED WATER,0,0,0
2024-07-28,762111329240 - DRK CHOC CVRD ESPRESSO BNS,762111329240,DRK CHOC CVRD ESPRESSO BNS,0,0,0
2024-07-29,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,1,3.25,1
2024-07-29,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-29,14397 - BLUEBERRY STREUSEL MUFFIN,14397,BLUEBERRY STREUSEL MUFFIN,2,7.3,2
2024-07-29,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,5,19.75,5
2024-07-29,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),2,7.3,2
2024-07-29,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,2,7.9,2
2024-07-29,25377 - COFFEE CAKE,25377,COFFEE CAKE,1,3.95,1
2024-07-29,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,0,0,0
2024-07-29,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,3.95,1
2024-07-29,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-29,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,0,0,0
2024-07-29,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,2,6.5,2
2024-07-29,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,3,9.75,3
2024-07-29,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,0,0,0
2024-07-29,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,0,0,0
2024-07-29,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,2,9.9,2
2024-07-29,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,2,9.9,2
2024-07-29,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,0,0,0
2024-07-29,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,0,0,0
2024-07-29,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,0,0,0
2024-07-29,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",0,0,0
2024-07-29,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,2,7.9,2
2024-07-29,762111198464 - ETHOS BOTTLED WATER,762111198464,ETHOS BOTTLED WATER,0,0,0
2024-07-29,762111329240 - DRK CHOC CVRD ESPRESSO BNS,762111329240,DRK CHOC CVRD ESPRESSO BNS,0,0,0
2024-07-29,851769007676 - SIETE LIME TORTILLA CHIPS,851769007676,SIETE LIME TORTILLA CHIPS,1,2.55,1
2024-07-30,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,1,3.25,1
2024-07-30,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-30,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),0,0,0
2024-07-30,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,2,7.9,2
2024-07-30,25377 - COFFEE CAKE,25377,COFFEE CAKE,1,3.95,1
2024-07-30,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-07-30,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,0,0,0
